regime,candidate_model,threshold,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,total_rows
LEGACY,logistic_unweighted,0.02,0.0207530052166024,0.544642857142857,0.039982521302163,0.537468530719374,8818,0.463983162325704,19005
LEGACY,logistic_unweighted,0.03,0.0221895664952241,0.449404761904762,0.0422909956588713,0.64358026675237,6805,0.358063667455933,19005
LEGACY,logistic_unweighted,0.04,0.0231279620853081,0.363095238095238,0.043486009623953,0.723980930955059,5275,0.277558537227045,19005
LEGACY,logistic_unweighted,0.05,0.0231568998109641,0.291666666666667,0.042907180385289,0.778563393861482,4232,0.222678242567745,19005
LEGACY,logistic_unweighted,0.06,0.0231493943472409,0.255952380952381,0.0424586521846458,0.805613584016284,3715,0.195474875032886,19005
LEGACY,logistic_unweighted,0.07,0.0219194312796209,0.220238095238095,0.0398706896551724,0.82312925170068,3376,0.177637463825309,19005
LEGACY,logistic_unweighted,0.08,0.0221308883970914,0.208333333333333,0.0400114318376679,0.83432428089346,3163,0.166429886871876,19005
LEGACY,logistic_unweighted,0.09,0.0223501523874026,0.196428571428571,0.040133779264214,0.8453586158873,2953,0.15538016311497,19005
LEGACY,logistic_unweighted,0.1,0.0212765957446809,0.178571428571429,0.0380228136882129,0.852161336975735,2820,0.148382004735596,19005
LEGACY,logistic_unweighted,0.11,0.0209020902090209,0.169642857142857,0.0372184133202742,0.856982162943918,2727,0.143488555643252,19005
LEGACY,logistic_unweighted,0.12,0.021105141980046,0.163690476190476,0.0373895309313392,0.863356366168515,2606,0.137121810049987,19005
LEGACY,logistic_unweighted,0.13,0.0208,0.154761904761905,0.0366713681241185,0.868873533665435,2500,0.131544330439358,19005
LEGACY,logistic_unweighted,0.14,0.0199335548172757,0.142857142857143,0.0349854227405248,0.873587230167658,2408,0.12670349907919,19005
LEGACY,logistic_unweighted,0.15,0.0184391080617496,0.12797619047619,0.0322338830584708,0.877390326209224,2332,0.122704551433833,19005
LEGACY,logistic_unweighted,0.16,0.0188927943760984,0.12797619047619,0.0329249617151608,0.880389951256093,2276,0.119757958431992,19005
LEGACY,logistic_unweighted,0.17,0.017961383026493,0.119047619047619,0.0312134217713617,0.882853928973164,2227,0.11717968955538,19005
LEGACY,logistic_unweighted,0.18,0.0182066454255803,0.119047619047619,0.0315831030398737,0.884460870962558,2197,0.115601157590108,19005
LEGACY,logistic_unweighted,0.19,0.017097966728281,0.110119047619048,0.0296,0.886067812951952,2164,0.113864772428308,19005
LEGACY,logistic_unweighted,0.2,0.0168539325842697,0.107142857142857,0.029126213592233,0.887514060742407,2136,0.112391475927388,19005
LEGACY,logistic_unweighted,0.21,0.017175572519084,0.107142857142857,0.0296052631578947,0.889656650061599,2096,0.110286766640358,19005
LEGACY,logistic_unweighted,0.22,0.0174081237911025,0.107142857142857,0.0299500831946755,0.891156462585034,2068,0.108813470139437,19005
LEGACY,logistic_unweighted,0.23,0.0177777777777778,0.107142857142857,0.0304955527318933,0.893459746103166,2025,0.10655090765588,19005
LEGACY,logistic_unweighted,0.24,0.0181818181818182,0.107142857142857,0.0310880829015544,0.895870159087257,1980,0.104183109707972,19005
LEGACY,logistic_unweighted,0.25,0.0180972078593588,0.104166666666667,0.0308370044052863,0.898280572071348,1934,0.101762694027887,19005
LEGACY,logistic_unweighted,0.26,0.0186965811965812,0.104166666666667,0.0317028985507246,0.901601585516096,1872,0.0985003946329913,19005
LEGACY,logistic_unweighted,0.27,0.0181818181818182,0.0982142857142857,0.0306834030683403,0.904547645829986,1815,0.095501183898974,19005
LEGACY,logistic_unweighted,0.28,0.0170068027210884,0.0892857142857143,0.0285714285714286,0.907118753013016,1764,0.0928176795580111,19005
LEGACY,logistic_unweighted,0.29,0.0168311085316309,0.0863095238095238,0.028169014084507,0.909261342332208,1723,0.0906603525388056,19005
LEGACY,logistic_unweighted,0.3,0.0155688622754491,0.0773809523809524,0.0259222333000997,0.911939578981199,1670,0.0878716127334912,19005
LEGACY,logistic_unweighted,0.31,0.015990159901599,0.0773809523809524,0.0265035677879715,0.91429642723231,1626,0.0855564325177585,19005
LEGACY,logistic_unweighted,0.32,0.016602809706258,0.0773809523809524,0.0273396424815983,0.917510311211099,1566,0.0823993685872139,19005
LEGACY,logistic_unweighted,0.33,0.0175084175084175,0.0773809523809524,0.028555738605162,0.921849054582463,1485,0.0781373322809787,19005
LEGACY,logistic_unweighted,0.34,0.018413597733711,0.0773809523809524,0.0297482837528604,0.925759280089989,1412,0.0742962378321494,19005
LEGACY,logistic_unweighted,0.35,0.018491124260355,0.0744047619047619,0.0296208530805687,0.928919599335797,1352,0.0711391739016048,19005
LEGACY,logistic_unweighted,0.36,0.0187353629976581,0.0714285714285714,0.0296846011131725,0.932669130644384,1281,0.0674033149171271,19005
LEGACY,logistic_unweighted,0.37,0.0166666666666667,0.0595238095238095,0.0260416666666667,0.936793615083829,1200,0.0631412786108919,19005
LEGACY,logistic_unweighted,0.38,0.0170250896057348,0.056547619047619,0.0261707988980716,0.941239487921153,1116,0.0587213891081294,19005
LEGACY,logistic_unweighted,0.39,0.0153846153846154,0.0476190476190476,0.0232558139534884,0.945149713428679,1040,0.054722441462773,19005
LEGACY,logistic_unweighted,0.4,0.0144329896907217,0.0416666666666667,0.0214395099540582,0.948792115271305,970,0.0510392002104709,19005
LEGACY,logistic_unweighted,0.41,0.0141921397379913,0.0386904761904762,0.0207667731629393,0.951631046119235,916,0.0481978426729808,19005
LEGACY,logistic_unweighted,0.42,0.0151869158878505,0.0386904761904762,0.0218120805369128,0.954844930098024,856,0.0450407787424362,19005
LEGACY,logistic_unweighted,0.43,0.0163522012578616,0.0386904761904762,0.0229885057471264,0.958112378809792,795,0.0418310970797159,19005
LEGACY,logistic_unweighted,0.44,0.0164609053497942,0.0357142857142857,0.0225352112676056,0.961594086453479,729,0.0383583267561168,19005
LEGACY,logistic_unweighted,0.45,0.016566265060241,0.0327380952380952,0.022,0.965022229364187,664,0.0349381741646935,19005
LEGACY,logistic_unweighted,0.46,0.015025041736227,0.0267857142857143,0.0192513368983957,0.968396807541914,599,0.0315180215732702,19005
LEGACY,logistic_unweighted,0.47,0.0146252285191956,0.0238095238095238,0.0181200453001132,0.971128608923885,547,0.0287818995001315,19005
LEGACY,logistic_unweighted,0.48,0.0138888888888889,0.0208333333333333,0.0166666666666667,0.973378327709036,504,0.0265193370165746,19005
LEGACY,logistic_unweighted,0.49,0.0150537634408602,0.0208333333333333,0.017478152309613,0.975467352295249,465,0.0244672454617206,19005
LEGACY,logistic_unweighted,0.5,0.0165094339622642,0.0208333333333333,0.0184210526315789,0.977663506347421,424,0.0223099184425151,19005
LEGACY,logistic_unweighted,0.51,0.0173267326732673,0.0208333333333333,0.0189189189189189,0.978734801007017,404,0.0212575637990003,19005
LEGACY,logistic_unweighted,0.52,0.0189189189189189,0.0208333333333333,0.0198300283286119,0.98055600192833,370,0.019468560905025,19005
LEGACY,logistic_unweighted,0.53,0.0204678362573099,0.0208333333333333,0.0206489675516224,0.982055814451765,342,0.0179952644041042,19005
LEGACY,logistic_unweighted,0.54,0.0194805194805195,0.0178571428571429,0.0186335403726708,0.983823450640099,308,0.0162062615101289,19005
LEGACY,logistic_unweighted,0.55,0.0183150183150183,0.0148809523809524,0.0164203612479475,0.985644651561412,273,0.0143646408839779,19005
LEGACY,logistic_unweighted,0.56,0.012448132780083,0.00892857142857143,0.0103986135181976,0.987251593550806,241,0.0126808734543541,19005
LEGACY,logistic_unweighted,0.57,0.0137614678899083,0.00892857142857143,0.0108303249097473,0.988483582409342,218,0.011470665614312,19005
LEGACY,logistic_unweighted,0.58,0.0161290322580645,0.00892857142857143,0.0114942528735632,0.990197653864695,186,0.00978689818468824,19005
LEGACY,logistic_unweighted,0.59,0.0188679245283019,0.00892857142857143,0.0121212121212121,0.99164390165515,159,0.00836621941594317,19005
