regime,candidate_model,feature_name,importance_type,importance_value,rank
LEGACY,catboost_balanced,original_cost,PREDICTION_VALUES_CHANGE,9.845404,3
LEGACY,catboost_balanced,cumulative_expenditure_t,PREDICTION_VALUES_CHANGE,9.056042,4
LEGACY,catboost_balanced,expenditure_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,8.36564,5
LEGACY,catboost_balanced,months_to_original_schedule,PREDICTION_VALUES_CHANGE,7.658687,6
LEGACY,catboost_balanced,months_to_effective_schedule,PREDICTION_VALUES_CHANGE,7.632892,7
LEGACY,catboost_balanced,agency,PREDICTION_VALUES_CHANGE,7.231561,8
LEGACY,catboost_balanced,sector,PREDICTION_VALUES_CHANGE,5.1583,9
LEGACY,catboost_balanced,observed_tenure_months,PREDICTION_VALUES_CHANGE,4.776157,10
LEGACY,catboost_balanced,revised_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,2.989804,11
LEGACY,catboost_balanced,revised_cost_t,PREDICTION_VALUES_CHANGE,2.482698,12
LEGACY,catboost_balanced,schedule_revision_lag_months,PREDICTION_VALUES_CHANGE,2.425849,13
LEGACY,catboost_balanced,exp_delta_1m,PREDICTION_VALUES_CHANGE,2.154558,14
LEGACY,catboost_balanced,physical_progress_t,PREDICTION_VALUES_CHANGE,2.080078,15
LEGACY,catboost_balanced,exp_delta_3m,PREDICTION_VALUES_CHANGE,1.9512,16
LEGACY,catboost_balanced,n_prior_schedule_extensions,PREDICTION_VALUES_CHANGE,1.076888,17
LEGACY,catboost_balanced,n_prior_cost_revisions,PREDICTION_VALUES_CHANGE,0.52128,18
LEGACY,catboost_balanced,past_exp_stagnant_3m,PREDICTION_VALUES_CHANGE,0.496768,19
LEGACY,catboost_balanced,cost_has_been_revised,PREDICTION_VALUES_CHANGE,0.494281,20
LEGACY,catboost_balanced,physical_progress_supported,PREDICTION_VALUES_CHANGE,0.451873,21
LEGACY,catboost_balanced,revised_cost_is_present,PREDICTION_VALUES_CHANGE,0.433819,22
LEGACY,catboost_balanced,physical_progress_is_present,PREDICTION_VALUES_CHANGE,0.375353,23
LEGACY,catboost_balanced,exp_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.360639,24
LEGACY,catboost_balanced,schedule_has_been_revised,PREDICTION_VALUES_CHANGE,0.342036,25
LEGACY,catboost_balanced,revised_date_is_present,PREDICTION_VALUES_CHANGE,0.327544,26
LEGACY,catboost_balanced,past_progress_delta_3m,PREDICTION_VALUES_CHANGE,0.236434,27
LEGACY,catboost_balanced,exp_delta_1m_is_supported,PREDICTION_VALUES_CHANGE,0.204651,28
LEGACY,catboost_balanced,past_progress_stagnant_3m,PREDICTION_VALUES_CHANGE,0.185085,29
LEGACY,catboost_balanced,progress_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.150723,30
LEGACY,catboost_balanced,original_completion_date_is_missing,PREDICTION_VALUES_CHANGE,0.006273,31
LEGACY,catboost_balanced,state_is_missing,PREDICTION_VALUES_CHANGE,7.5e-05,32
LEGACY,catboost_balanced,start_date_supported,PREDICTION_VALUES_CHANGE,0,33
LEGACY,catboost_balanced,approval_date_is_missing,PREDICTION_VALUES_CHANGE,0,34
LEGACY,catboost_balanced,start_date_is_present,PREDICTION_VALUES_CHANGE,0,35
LEGACY,catboost_balanced,months_since_start,PREDICTION_VALUES_CHANGE,0,36
MODERN,logistic_unweighted,sector,MEAN_STANDARDIZED_COEFFICIENT,1.363458,1
MODERN,logistic_unweighted,agency,MEAN_STANDARDIZED_COEFFICIENT,-0.785263,2
