regime,model_config,feature_name,feature_group,feature_rank,mean_importance,importance_share_pct,group_total_importance,group_share_pct
MODERN,logistic_static_plus_longitudinal,revised_to_original_cost_ratio,static_current,23,0.172997719557274,1.23768702675477,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,project_age_months,static_current,24,0.165595235171513,1.18472702870706,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,start_date_is_present,static_current,25,0.128517137117664,0.919457168182708,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,exp_delta_3m_is_supported,longitudinal,26,0.0888918079628283,0.635963513171888,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,progress_delta_3m_is_supported,longitudinal,27,0.0888918079628283,0.635963513171888,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,approval_date_is_missing,static_current,28,0.0843377153441693,0.603381919800723,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,n_prior_cost_revisions,longitudinal,29,0.0748359330289379,0.535402800002463,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,schedule_has_been_revised,static_current,30,0.0660880900793067,0.472817629755394,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,revised_date_is_present,static_current,31,0.0660880900793067,0.472817629755394,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,cost_has_been_revised,static_current,32,0,0,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,original_completion_date_is_missing,static_current,33,0,0,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,revised_cost_is_present,static_current,34,0,0,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,physical_progress_is_present,static_current,35,0,0,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,physical_progress_supported,static_current,36,0,0,11.7491677217956,84.0577118683809
