fold_id,regime,evaluation_origin,candidate_model,training_rows,training_positives,evaluation_rows,evaluation_positives,average_precision,roc_auc,brier_score,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,observed_prevalence
LEGACY_2024_12,LEGACY,2024-12,prevalence,4536,1541,1399,391,0.279485346676197,0.5,0.20500230005385,,0,0,1,0,0,0.279485346676197
LEGACY_2024_12,LEGACY,2024-12,logistic_unweighted,4536,1541,1399,391,0.488751389278629,0.72817206592782,0.194336267837636,0.530612244897959,0.465473145780051,0.49591280653951,0.840277777777778,343,0.24517512508935,0.279485346676197
LEGACY_2024_12,LEGACY,2024-12,logistic_balanced,4536,1541,1399,391,0.487784304253396,0.729514269475906,0.220220966896825,0.44750430292599,0.664961636828645,0.534979423868313,0.681547619047619,581,0.41529664045747,0.279485346676197
LEGACY_2024_12,LEGACY,2024-12,catboost_unweighted,4536,1541,1399,391,0.689864019262882,0.85263163236309,0.13655923323371,0.68361581920904,0.618925831202046,0.649664429530201,0.888888888888889,354,0.253037884203002,0.279485346676197
LEGACY_2024_12,LEGACY,2024-12,catboost_balanced,4536,1541,1399,391,0.688589555765956,0.854765456907401,0.145596793696269,0.631236442516269,0.744245524296675,0.683098591549296,0.831349206349206,461,0.32952108649035,0.279485346676197
LEGACY_2025_01,LEGACY,2025-01,prevalence,6092,2083,1360,366,0.269117647058824,0.5,0.201994080035468,,0,0,1,0,0,0.269117647058824
LEGACY_2025_01,LEGACY,2025-01,logistic_unweighted,6092,2083,1360,366,0.637631548726638,0.840911589757122,0.13280052234788,0.663265306122449,0.710382513661202,0.686015831134565,0.867203219315895,392,0.288235294117647,0.269117647058824
LEGACY_2025_01,LEGACY,2025-01,logistic_balanced,6092,2083,1360,366,0.634647439309356,0.841136985849523,0.15311114016122,0.632967032967033,0.786885245901639,0.701583434835566,0.831991951710262,455,0.334558823529412,0.269117647058824
LEGACY_2025_01,LEGACY,2025-01,catboost_unweighted,6092,2083,1360,366,0.649090615469656,0.860325889764818,0.13241647518401,0.66120218579235,0.66120218579235,0.66120218579235,0.875251509054326,366,0.269117647058824,0.269117647058824
LEGACY_2025_01,LEGACY,2025-01,catboost_balanced,6092,2083,1360,366,0.657867767931356,0.866925597299645,0.137502139479314,0.622559652928417,0.784153005464481,0.694074969770254,0.824949698189135,461,0.338970588235294,0.269117647058824
LEGACY_2025_02,LEGACY,2025-02,prevalence,7514,2508,1343,327,0.243484735666418,0.5,0.192352603077858,,0,0,1,0,0,0.243484735666418
LEGACY_2025_02,LEGACY,2025-02,logistic_unweighted,7514,2508,1343,327,0.595152402096136,0.844051746971995,0.13267886417657,0.620218579234973,0.694189602446483,0.655122655122655,0.863188976377953,366,0.272524199553239,0.243484735666418
LEGACY_2025_02,LEGACY,2025-02,logistic_balanced,7514,2508,1343,327,0.591687608338131,0.843314310481832,0.158707130352661,0.582191780821918,0.779816513761468,0.666666666666667,0.81988188976378,438,0.326135517498139,0.243484735666418
LEGACY_2025_02,LEGACY,2025-02,catboost_unweighted,7514,2508,1343,327,0.656958635767678,0.874828433143105,0.123561781179411,0.630372492836676,0.672782874617737,0.650887573964497,0.873031496062992,349,0.259865971705138,0.243484735666418
LEGACY_2025_02,LEGACY,2025-02,catboost_balanced,7514,2508,1343,327,0.66180739661363,0.878356088516458,0.137258129087259,0.579775280898876,0.788990825688073,0.66839378238342,0.815944881889764,445,0.331347728965004,0.243484735666418
LEGACY_2025_03,LEGACY,2025-03,prevalence,8920,2912,1299,339,0.260969976905312,0.5,0.197153250525469,,0,0,1,0,0,0.260969976905312
LEGACY_2025_03,LEGACY,2025-03,logistic_unweighted,8920,2912,1299,339,0.619807866989838,0.822504916420846,0.13572223347607,0.652567975830816,0.63716814159292,0.644776119402985,0.880208333333333,331,0.254811393379523,0.260969976905312
LEGACY_2025_03,LEGACY,2025-03,logistic_balanced,8920,2912,1299,339,0.617971105620172,0.822775319567355,0.156697938649783,0.624365482233503,0.725663716814159,0.671214188267394,0.845833333333333,394,0.303310238645112,0.260969976905312
LEGACY_2025_03,LEGACY,2025-03,catboost_unweighted,8920,2912,1299,339,0.719668470650965,0.874956981317601,0.120680587990905,0.681547619047619,0.675516224188791,0.678518518518518,0.888541666666667,336,0.258660508083141,0.260969976905312
LEGACY_2025_03,LEGACY,2025-03,catboost_balanced,8920,2912,1299,339,0.7160974633982,0.873890732546706,0.131850286703521,0.622327790973872,0.772861356932153,0.689473684210526,0.834375,421,0.32409545804465,0.260969976905312
MODERN_2025_12,MODERN,2025-12,prevalence,1443,587,1316,169,0.128419452887538,0.5,0.189418841727861,,0,0,1,0,0,0.128419452887538
MODERN_2025_12,MODERN,2025-12,logistic_unweighted,1443,587,1316,169,0.140205017495226,0.475766470803692,0.216062213627958,0.0857142857142857,0.195266272189349,0.11913357400722,0.693112467306016,385,0.292553191489362,0.128419452887538
MODERN_2025_12,MODERN,2025-12,logistic_balanced,1443,587,1316,169,0.141754019607607,0.477603008620378,0.258827585218102,0.0931034482758621,0.319526627218935,0.144192256341789,0.541412380122058,580,0.440729483282675,0.128419452887538
