regime,candidate_model,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,false_discovery_rate,total_rows
LEGACY,logistic_unweighted,0.03,2246,5938,39,6,0.274437927663734,0.997335701598579,0.430433116136451,0.00652501254810105,8184,0.994531534815895,0.725562072336266,8229
LEGACY,logistic_unweighted,0.04,2243,5922,55,9,0.274709124311084,0.996003552397869,0.430642219448978,0.00920194077296303,8165,0.992222627293717,0.725290875688916,8229
LEGACY,logistic_unweighted,0.05,2241,5879,98,11,0.275985221674877,0.995115452930728,0.43212495179329,0.0163961853772796,8120,0.986754162109612,0.724014778325123,8229
LEGACY,logistic_unweighted,0.06,2239,5787,190,13,0.278968352853227,0.994227353463588,0.435687877018875,0.0317885226702359,8026,0.97533114594726,0.721031647146773,8229
LEGACY,logistic_unweighted,0.07,2231,5649,328,21,0.283121827411168,0.990674955595027,0.440386893012239,0.0548770286096704,7880,0.957589014461052,0.716878172588832,8229
LEGACY,logistic_unweighted,0.08,2223,5451,526,29,0.289679437060203,0.987122557726465,0.447914567801733,0.0880040153923373,7674,0.932555596062705,0.710320562939797,8229
LEGACY,logistic_unweighted,0.09,2208,5238,739,44,0.296535052377115,0.980461811722913,0.455351618890493,0.123640622385812,7446,0.904848705796573,0.703464947622885,8229
LEGACY,logistic_unweighted,0.1,2197,5045,932,55,0.303369235017951,0.975577264653641,0.462818622287761,0.15593106909821,7242,0.880058330295297,0.696630764982049,8229
LEGACY,logistic_unweighted,0.11,2180,4881,1096,72,0.308738139073786,0.968028419182948,0.468162783206271,0.183369583403045,7061,0.858062948110341,0.691261860926214,8229
LEGACY,logistic_unweighted,0.12,2168,4726,1251,84,0.314476356251813,0.962699822380107,0.47408703258255,0.209302325581395,6894,0.837768866204885,0.685523643748187,8229
LEGACY,logistic_unweighted,0.13,2156,4592,1385,96,0.319502074688797,0.957371225577265,0.479111111111111,0.231721599464614,6748,0.820026734718678,0.680497925311203,8229
LEGACY,logistic_unweighted,0.14,2145,4462,1515,107,0.324655668230664,0.952486678507993,0.484253301727057,0.253471641291618,6607,0.802892210475149,0.675344331769336,8229
LEGACY,logistic_unweighted,0.15,2134,4319,1658,118,0.330698899736557,0.947602131438721,0.490292935094773,0.277396687301322,6453,0.784177907400656,0.669301100263443,8229
LEGACY,logistic_unweighted,0.16,2120,4180,1797,132,0.336507936507937,0.941385435168739,0.495790458372311,0.30065250125481,6300,0.765585125774699,0.663492063492063,8229
LEGACY,logistic_unweighted,0.17,2108,4059,1918,144,0.341819361115615,0.936056838365897,0.500772063190403,0.320896770955329,6167,0.749422773119456,0.658180638884385,8229
LEGACY,logistic_unweighted,0.18,2090,3943,2034,162,0.346427979446378,0.928063943161634,0.504526252263126,0.340304500585578,6033,0.733138899015676,0.653572020553622,8229
LEGACY,logistic_unweighted,0.19,2075,3833,2144,177,0.351218686526743,0.921403197158082,0.508578431372549,0.358708382131504,5908,0.717948717948718,0.648781313473257,8229
LEGACY,logistic_unweighted,0.2,2065,3738,2239,187,0.355850422195416,0.91696269982238,0.512725015518312,0.374602643466622,5803,0.705188965852473,0.644149577804584,8229
LEGACY,logistic_unweighted,0.21,2054,3649,2328,198,0.360161318604243,0.912078152753108,0.516404776869893,0.389493056717417,5703,0.693036820998906,0.639838681395757,8229
LEGACY,logistic_unweighted,0.22,2044,3543,2434,208,0.365849293001611,0.907637655417407,0.521495088659268,0.407227706207127,5587,0.678940332968769,0.634150706998389,8229
LEGACY,logistic_unweighted,0.23,2031,3456,2521,221,0.370147621651175,0.901865008880995,0.524874014730585,0.421783503429814,5487,0.666788188115202,0.629852378348824,8229
LEGACY,logistic_unweighted,0.24,2019,3348,2629,233,0.376187814421464,0.896536412078153,0.529990812442578,0.439852768947633,5367,0.652205614290922,0.623812185578535,8229
LEGACY,logistic_unweighted,0.25,2015,3259,2718,237,0.382062950322336,0.894760213143872,0.535477013021525,0.454743182198427,5274,0.640904119577105,0.617937049677664,8229
LEGACY,logistic_unweighted,0.26,1999,3173,2804,253,0.386504253673627,0.88765541740675,0.538523706896552,0.46913167140706,5172,0.628508931826467,0.613495746326373,8229
LEGACY,logistic_unweighted,0.27,1981,3068,2909,271,0.392354921766686,0.879662522202487,0.542665388302972,0.486699012882717,5049,0.61356179365658,0.607645078233313,8229
LEGACY,logistic_unweighted,0.28,1966,2973,3004,286,0.398056286697712,0.873001776198934,0.546794604366569,0.502593274217835,4939,0.600194434317657,0.601943713302288,8229
LEGACY,logistic_unweighted,0.29,1948,2868,3109,304,0.404485049833887,0.865008880994671,0.55121675155631,0.520160615693492,4816,0.58524729614777,0.595514950166113,8229
LEGACY,logistic_unweighted,0.3,1915,2738,3239,337,0.411562432839029,0.850355239786856,0.554670528602462,0.541910657520495,4653,0.565439300036456,0.588437567160971,8229
LEGACY,logistic_unweighted,0.31,1883,2590,3387,369,0.420970266040689,0.836145648312611,0.56,0.566672243600468,4473,0.543565439300036,0.579029733959311,8229
LEGACY,logistic_unweighted,0.32,1846,2450,3527,406,0.429702048417132,0.819715808170515,0.563836285888821,0.590095365568011,4296,0.522056142909224,0.570297951582868,8229
LEGACY,logistic_unweighted,0.33,1818,2323,3654,434,0.439024390243902,0.807282415630551,0.568747067104646,0.611343483352853,4141,0.503220318386195,0.560975609756098,8229
LEGACY,logistic_unweighted,0.34,1789,2191,3786,463,0.449497487437186,0.794404973357016,0.57413350449294,0.633428141207964,3980,0.483655365171953,0.550502512562814,8229
LEGACY,logistic_unweighted,0.35,1749,2058,3919,503,0.459416863672183,0.77664298401421,0.577322990592507,0.655680107077129,3807,0.462632154575283,0.540583136327817,8229
LEGACY,logistic_unweighted,0.36,1715,1946,4031,537,0.468451242829828,0.761545293072824,0.580077794689667,0.674418604651163,3661,0.444890023089075,0.531548757170172,8229
LEGACY,logistic_unweighted,0.37,1679,1828,4149,573,0.478756772169946,0.745559502664298,0.583087341552353,0.69416095030952,3507,0.426175720014583,0.521243227830054,8229
LEGACY,logistic_unweighted,0.38,1652,1729,4248,600,0.488612836438923,0.733570159857904,0.586543582460501,0.710724443700853,3381,0.410864017499089,0.511387163561077,8229
LEGACY,logistic_unweighted,0.39,1627,1622,4355,625,0.50076946752847,0.72246891651865,0.591528812943101,0.728626401204618,3249,0.394823186292381,0.49923053247153,8229
LEGACY,logistic_unweighted,0.4,1592,1543,4434,660,0.507814992025518,0.706927175843694,0.591052533877854,0.741843734314874,3135,0.380969741159315,0.492185007974482,8229
LEGACY,logistic_unweighted,0.41,1567,1459,4518,685,0.517845340383344,0.69582593250444,0.593785524820008,0.755897607495399,3026,0.367723903268927,0.482154659616656,8229
LEGACY,logistic_unweighted,0.42,1532,1378,4599,720,0.526460481099656,0.680284191829485,0.593568384347152,0.769449556633763,2910,0.35362741523879,0.473539518900344,8229
LEGACY,logistic_unweighted,0.43,1490,1289,4688,762,0.536164087801367,0.661634103019538,0.592327569071755,0.784339969884557,2779,0.337708105480617,0.463835912198633,8229
LEGACY,logistic_unweighted,0.44,1454,1206,4771,798,0.546616541353383,0.645648312611012,0.592019543973941,0.798226535051029,2660,0.323247053104873,0.453383458646617,8229
LEGACY,logistic_unweighted,0.45,1418,1127,4850,834,0.557170923379175,0.629662522202487,0.591202835105274,0.811443868161285,2545,0.309272086523271,0.442829076620825,8229
LEGACY,logistic_unweighted,0.46,1380,1076,4901,872,0.561889250814332,0.612788632326821,0.586236193712829,0.819976576878032,2456,0.298456677603597,0.438110749185668,8229
LEGACY,logistic_unweighted,0.47,1343,1001,4976,909,0.572952218430034,0.596358792184725,0.584421235857267,0.832524677932073,2344,0.284846275367602,0.427047781569966,8229
LEGACY,logistic_unweighted,0.48,1313,951,5026,939,0.579946996466431,0.58303730017762,0.581488042515501,0.840890078634767,2264,0.275124559484749,0.420053003533569,8229
LEGACY,logistic_unweighted,0.49,1280,903,5074,972,0.586349060925332,0.568383658969805,0.577226606538895,0.848920863309353,2183,0.26528132215336,0.413650939074668,8229
LEGACY,logistic_unweighted,0.5,1230,842,5135,1022,0.593629343629344,0.546181172291297,0.568917668825162,0.859126652166639,2072,0.251792441365901,0.406370656370656,8229
LEGACY,logistic_unweighted,0.51,1188,801,5176,1064,0.597285067873303,0.52753108348135,0.56024522518274,0.865986280742848,1989,0.241706161137441,0.402714932126697,8229
LEGACY,logistic_unweighted,0.52,1149,756,5221,1103,0.603149606299213,0.510213143872114,0.552802501804186,0.873515141375272,1905,0.231498359460445,0.396850393700787,8229
LEGACY,logistic_unweighted,0.53,1116,716,5261,1136,0.609170305676856,0.495559502664298,0.546523016650343,0.880207461937427,1832,0.222627293717341,0.390829694323144,8229
LEGACY,logistic_unweighted,0.54,1082,679,5298,1170,0.614423622941511,0.480461811722913,0.539247445801146,0.88639785845742,1761,0.213999270871309,0.38557637705849,8229
LEGACY,logistic_unweighted,0.55,1049,642,5335,1203,0.620342992312241,0.465808170515098,0.532082170935836,0.892588254977413,1691,0.205492769473812,0.379657007687759,8229
LEGACY,logistic_unweighted,0.56,1022,605,5372,1230,0.628149969268592,0.453818827708703,0.526939932972416,0.898778651497407,1627,0.197715396767529,0.371850030731407,8229
LEGACY,logistic_unweighted,0.57,978,575,5402,1274,0.629748873148744,0.434280639431616,0.514060446780552,0.903797891919023,1553,0.18872280957589,0.370251126851256,8229
LEGACY,logistic_unweighted,0.58,945,544,5433,1307,0.634654130288784,0.419626998223801,0.505212510024058,0.908984440354693,1489,0.180945436869607,0.365345869711216,8229
LEGACY,logistic_unweighted,0.59,917,525,5452,1335,0.635922330097087,0.407193605683837,0.496480779642664,0.912163292621717,1442,0.175233928788431,0.364077669902913,8229
LEGACY,logistic_unweighted,0.6,888,500,5477,1364,0.639769452449568,0.394316163410302,0.487912087912088,0.916345992973063,1388,0.168671770567505,0.360230547550432,8229
LEGACY,logistic_unweighted,0.61,864,477,5500,1388,0.644295302013423,0.383658969804618,0.48093515168383,0.920194077296303,1341,0.162960262486329,0.355704697986577,8229
