regime,locked_model,dimension,subgroup_name,sample_size,positive_count,prevalence,average_precision,roc_auc,brier_score,ece_10bin,precision_at_0_5,recall_at_0_5,f1_at_0_5,statistically_insufficient,notes
LEGACY,catboost_full_v1__unweighted,schedule_has_been_revised,PREVIOUSLY_REVISED,4729,1157,0.244660604779023,0.537496937030361,0.738673065550653,0.15747578903282,0.0565766848466097,0.596969696969697,0.340535868625756,0.4336818932306,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,continuous_segment,SEGMENT_1,3070,274,0.0892508143322476,0.316412643423207,0.794259003999457,0.0820939601976964,0.053354533734598,0.34051724137931,0.288321167883212,0.312252964426877,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,continuous_segment,SEGMENT_3,13929,1332,0.0956278268360974,0.438471207087588,0.809582147043447,0.0697608207101064,0.0233143706836359,0.632692307692308,0.246996996996997,0.355291576673866,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,sector,OTHER_SECTORS,8190,3680,0.449328449328449,0.748744691177597,0.834505085317652,0.189008834015725,0.129650829916407,0.784469096671949,0.403532608695652,0.532926610443208,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_cost_bracket,COST_1000_TO_5000CR,2840,1404,0.494366197183099,0.842227706183909,0.872925743399281,0.193167475005415,0.185972482048844,0.875,0.383903133903134,0.533663366336634,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_cost_bracket,COST_5000CR_PLUS,524,107,0.204198473282443,0.381939395369044,0.741814025415182,0.147090214815918,0.067795904057022,0.263157894736842,0.0467289719626168,0.0793650793650794,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_cost_bracket,COST_500_TO_1000CR,1859,843,0.453469607315761,0.778508438424173,0.850199886046273,0.180284438725337,0.120902695703224,0.809110629067245,0.442467378410439,0.572085889570552,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_cost_bracket,COST_UNDER_500CR,2967,1326,0.446916076845298,0.688838093054255,0.796623660479989,0.197897767920278,0.128157280445624,0.71267252195734,0.428355957767722,0.535091851154027,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_age_bracket,AGE_2_TO_5Y,3726,1914,0.513687600644122,0.787888083735641,0.827516429423258,0.213731670043455,0.190523544529523,0.826633165829146,0.343782654127482,0.485608856088561,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_age_bracket,AGE_5Y_PLUS,3375,1521,0.450666666666667,0.730344264237714,0.827036377447132,0.181072238954687,0.100806556240575,0.748299319727891,0.506245890861275,0.603921568627451,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_age_bracket,AGE_UNDER_2Y,959,173,0.180396246089677,0.445837178529701,0.787208224859904,0.127567714967015,0.0526637012495404,0.555555555555556,0.0289017341040462,0.0549450549450549,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,project_age_bracket,UNKNOWN,130,72,0.553846153846154,0.855670200369054,0.899664750957854,0.139706945241805,0.155549106297611,0.88135593220339,0.722222222222222,0.793893129770992,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,schedule_has_been_revised,NOT_PREVIOUSLY_REVISED,2808,1043,0.371438746438746,0.741721520493864,0.871734672537,0.166217491462391,0.125308393796092,0.776892430278884,0.37392138063279,0.504854368932039,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,schedule_has_been_revised,PREVIOUSLY_REVISED,5382,2637,0.489966555183946,0.755043771480456,0.811524659929143,0.200899969260942,0.132220015862982,0.787203450754853,0.415244596131968,0.54369414101291,False,Sufficient statistical support.
MODERN,logistic_static_only__unweighted,continuous_segment,SEGMENT_4,8190,3680,0.449328449328449,0.748744691177597,0.834505085317652,0.189008834015725,0.129650829916407,0.784469096671949,0.403532608695652,0.532926610443208,False,Sufficient statistical support.
