regime,analysis_category,grouping_key,sample_size,metric_or_feature,value_tp,value_fp,value_fn,value_tn,notes
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,cumulative_expenditure_t,298.7,194.27,269,171.79,Median value of cumulative_expenditure_t across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,physical_progress_t,85.9235420875421,78.0884558823529,62.4177129840547,41.853927352511,Mean value of physical_progress_t across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,physical_progress_t,92.89,91.75,70,37.7,Median value of physical_progress_t across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,expenditure_to_original_cost_ratio,0.44250735679573,0.774617600677662,0.402020980934664,0.478236150453166,Mean value of expenditure_to_original_cost_ratio across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,expenditure_to_original_cost_ratio,0.475749390447961,0.437973891020402,0.345101036640711,0.241820535755201,Median value of expenditure_to_original_cost_ratio across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,months_to_effective_schedule,-15.759595959596,-15.4338235294118,3.44692482915718,17.2959531935641,Mean value of months_to_effective_schedule across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,months_to_effective_schedule,-9,-9,2,13,Median value of months_to_effective_schedule across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,n_prior_schedule_extensions,1.02491582491583,1.01470588235294,0.924373576309795,0.563139931740614,Mean value of n_prior_schedule_extensions across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,n_prior_schedule_extensions,1,1,1,0,Median value of n_prior_schedule_extensions across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,n_prior_cost_revisions,0.37979797979798,0.28921568627451,0.304783599088838,0.237688932228181,Mean value of n_prior_cost_revisions across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,n_prior_cost_revisions,0,0,0,0,Median value of n_prior_cost_revisions across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,schedule_has_been_revised,0.737373737373737,0.725490196078431,0.70250569476082,0.597025841053145,Mean value of schedule_has_been_revised across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,schedule_has_been_revised,1,1,1,1,Median value of schedule_has_been_revised across confusion quadrants.
MODERN,TEMPORAL_DISTRIBUTION,2025-12,1338,quadrant_counts,301,75,307,655,Confusion quadrant counts for evaluation origin 2025-12.
MODERN,TEMPORAL_DISTRIBUTION,2026-01,1630,quadrant_counts,305,62,434,829,Confusion quadrant counts for evaluation origin 2026-01.
MODERN,TEMPORAL_DISTRIBUTION,2026-02,1867,quadrant_counts,380,74,567,846,Confusion quadrant counts for evaluation origin 2026-02.
MODERN,TEMPORAL_DISTRIBUTION,2026-03,1730,quadrant_counts,25,32,699,974,Confusion quadrant counts for evaluation origin 2026-03.
MODERN,TEMPORAL_DISTRIBUTION,2026-04,1625,quadrant_counts,474,165,188,798,Confusion quadrant counts for evaluation origin 2026-04.
MODERN,PROJECT_REPEAT_CLUSTERING,FALSE_POSITIVES,408,unique_projects_with_error,,255,,,Number of distinct projects generating false alarms.
MODERN,PROJECT_REPEAT_CLUSTERING,FALSE_POSITIVES,408,repeat_error_projects_count_2plus,,83,,,Projects generating multiple false alarms (>=2 months).
MODERN,PROJECT_REPEAT_CLUSTERING,FALSE_POSITIVES,408,repeat_error_share_pct,,57.843137254902,,,Percentage of false alarms originating from chronic repeat-alert projects.
MODERN,PROJECT_REPEAT_CLUSTERING,FALSE_NEGATIVES,2195,unique_projects_with_error,,,955,,Number of distinct projects with missed schedule extensions.
MODERN,PROJECT_REPEAT_CLUSTERING,FALSE_NEGATIVES,2195,repeat_error_projects_count_2plus,,,620,,Projects with multiple missed extensions (>=2 months).
MODERN,PROJECT_REPEAT_CLUSTERING,FALSE_NEGATIVES,2195,repeat_error_share_pct,,,84.7380410022779,,Percentage of missed extensions originating from chronic repeat-miss projects.
